chr	start	end	clone_0_A_copy	clone_0_B_copy	clone_1_A_copy	clone_1_B_copy	clone_2_A_copy	clone_2_B_copy	normal_A_copy	normal_B_copy
1	0	93837855	1	1	1	1	1	1	1	1
1	93837855	103837855	1	1	1	1	1	3	1	1
1	103837855	248956422	1	1	1	1	1	1	1	1
2	0	242193529	1	1	1	1	1	1	1	1
3	0	198295559	1	1	1	1	1	1	1	1
4	0	190214555	1	1	1	1	1	1	1	1
5	0	101270041	1	1	1	1	1	1	1	1
5	101270041	102990579	2	1	1	1	1	1	1	1
5	102990579	111270041	2	1	2	0	1	1	1	1
5	111270041	112990579	1	1	2	0	1	1	1	1
5	112990579	181538259	1	1	1	1	1	1	1	1
6	0	80102583	1	1	1	1	1	1	1	1
6	80102583	90102583	1	1	1	1	1	0	1	1
6	90102583	155082851	1	1	1	1	1	1	1	1
6	155082851	165082851	2	1	1	1	1	1	1	1
6	165082851	170805979	1	1	1	1	1	1	1	1
7	0	142303655	1	1	1	1	1	1	1	1
7	142303655	152303655	1	1	0	1	1	1	1	1
7	152303655	159345973	1	1	1	1	1	1	1	1
8	0	62515875	1	1	1	1	1	1	1	1
8	62515875	72515875	1	1	1	1	3	1	1	1
8	72515875	145138636	1	1	1	1	1	1	1	1
9	0	40294130	1	1	1	1	1	1	1	1
9	40294130	50294130	0	2	0	2	0	2	1	1
9	50294130	138394717	1	1	1	1	1	1	1	1
10	0	78826761	1	1	1	1	1	1	1	1
10	78826761	88826761	1	1	2	2	1	1	1	1
10	88826761	133797422	1	1	1	1	1	1	1	1
11	0	135086622	1	1	1	1	1	1	1	1
12	0	60969723	1	1	1	1	1	1	1	1
12	60969723	70969723	2	0	2	0	2	0	1	1
12	70969723	133275309	1	1	1	1	1	1	1	1
13	0	114364328	1	1	1	1	1	1	1	1
14	0	107043718	1	1	1	1	1	1	1	1
15	0	36256058	1	1	1	1	1	1	1	1
15	36256058	46256058	0	1	0	1	0	1	1	1
15	46256058	48220334	1	1	1	1	1	1	1	1
15	48220334	58220334	2	1	2	1	2	1	1	1
15	58220334	101991189	1	1	1	1	1	1	1	1
16	0	74753033	1	1	1	1	1	1	1	1
16	74753033	84753033	2	0	2	0	2	0	1	1
16	84753033	90338345	1	1	1	1	1	1	1	1
17	0	83257441	1	1	1	1	1	1	1	1
18	0	65931087	1	1	1	1	1	1	1	1
18	65931087	75931087	0	1	1	1	1	1	1	1
18	75931087	80373285	1	1	1	1	1	1	1	1
19	0	58617616	1	1	1	1	1	1	1	1
20	0	51816053	1	1	1	1	1	1	1	1
20	51816053	61816053	0	1	0	1	0	1	1	1
20	61816053	64444167	1	1	1	1	1	1	1	1
21	0	46709983	1	1	1	1	1	1	1	1
22	0	50818468	1	1	1	1	1	1	1	1
